epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1572.09,1.52335,2.25522,1.25325,0.51803,0.69388,0.49522,0.27856,1.22092,68.4313,1.06566,0.00055323,0.00055323,0.00055323
2,2816.57,1.47047,1.48278,1.25576,0.46329,0.63998,0.45209,0.25241,1.22722,62.365,1.13723,0.000999115,0.000999115,0.000999115
3,3923.5,1.45204,1.20321,1.26486,0.5836,0.75849,0.58073,0.32395,1.2046,60.2923,1.10356,0.00133498,0.00133498,0.00133498
4,5022.71,1.41503,1.06874,1.25349,0.58421,0.76282,0.56783,0.31797,1.23909,65.3822,1.10894,0.0011719,0.0011719,0.0011719
5,6153.21,1.38007,0.96165,1.23142,0.57502,0.78993,0.56602,0.3288,1.16448,66.5598,1.05516,0.00100687,0.00100687,0.00100687
6,7277.44,1.33544,0.87735,1.19849,0.58958,0.82646,0.60239,0.34044,1.21093,58.063,1.07386,0.000841835,0.000841835,0.000841835
7,8386.86,1.30466,0.81317,1.18763,0.60748,0.83686,0.6132,0.36827,1.13311,67.1248,1.03597,0.000676802,0.000676802,0.000676802
8,9480.54,1.26013,0.74983,1.15931,0.62717,0.86046,0.63446,0.38474,1.12093,69.5563,1.02075,0.000511769,0.000511769,0.000511769
9,10585.7,1.2075,0.6911,1.13048,0.61573,0.85138,0.64554,0.39967,1.12864,62.2406,1.02454,0.000346736,0.000346736,0.000346736
10,11686.1,1.16894,0.64397,1.11469,0.62912,0.88782,0.64283,0.39115,1.13391,66.788,1.02012,0.000181703,0.000181703,0.000181703
